session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title
Technologies of the Avant-Garde ,AMS,Grand Ballroom C,Sumanth Gopinath,University of Minnesota,NA,NA,Nicholas Jurkowski,"University of California, Santa Barbara",The Avant-Garde Goes Corporate: Soundtracks and Sound Experiments at the Siemens Studio for Electronic Music
Technologies of the Avant-Garde ,AMS,Grand Ballroom C,Sumanth Gopinath,University of Minnesota,NA,NA,Rachel S. Vandagriff,"Oakland, Calif.",The Pre-history of the Columbia-Princeton Electronic Music Center
Transatlantic Opera ,AMS,Grand Ballroom D,Katherine K. Preston,College of William & Mary,NA,NA,Charlotte Bentley,University of Cambridge,Transatlantic grand opÃ©ra: Rethinking the ThÃ©Ã¢tre d'OrlÃ©ans
Transatlantic Opera ,AMS,Grand Ballroom D,Katherine K. Preston,College of William & Mary,NA,NA,Rachel Cowgill,University of Huddersfield,"Adaptation in English Opera: New Light from the Norwich Theatre Royal Music Collection, Norfolk Heritage Centre"
Transatlantic Opera ,AMS,Grand Ballroom D,Katherine K. Preston,College of William & Mary,NA,NA,April Greenan,University of Richmond,Performing National Identity: Francis Hopkinson and the First Productions of Serious Opera in Colonial America
Transatlantic Opera ,AMS,Grand Ballroom D,Katherine K. Preston,College of William & Mary,NA,NA,Jennifer C. H. J. Wilson,Brooklyn College,Vive la France! Vive la RÃ©volution! . . . Ã  New York
Theory and Practice ,SMT,Pavilion Ballroom B,Roger Mathew Gran,Wesleyan University,NA,NA,Ryan Taycher,Indiana University,De fundamento discanti
Theory and Practice ,SMT,Pavilion Ballroom B,Roger Mathew Gran,Wesleyan University,NA,NA,Peter Schubert and Julie Cumming,McGill University,'Maintaining a Point': Repeated Motives over an Equal-Note Cantus Firmus from Josquin to Monteverdi
Theory and Practice ,SMT,Pavilion Ballroom B,Roger Mathew Gran,Wesleyan University,NA,NA,Megan Kaes Long,Oberlin College & Conservatory,Tonality's Missing Link: Text Setting and Metrical Regularity in Italianate Partsong at the Turn of the Seventeenth Century
Theory and Practice ,SMT,Pavilion Ballroom B,Roger Mathew Gran,Wesleyan University,NA,NA,Layne Vanderbeek,"University at Buffalo, SUNY",Tactical Approaches to Tactus in Praetorius and Burmeister: Differences in their Rhetorical Understanding and Purpose
Radio Canada ,AMS,Junior Ballroom D,Mary Ingraham,University of Alberta,NA,NA,Robert Bailey,University of Calgary,"Radio Orchestras and the Cultivation of a National Music Culture: The CBC Vancouver Chamber Orchestra, 1938â€“2008"
Radio Canada ,AMS,Junior Ballroom D,Mary Ingraham,University of Alberta,NA,NA,Kimberly Francis,University of Guelph,"The Stravinsky Venture: Igor Stravinsky and the Canadian Broadcasting Corporation, 1961â€“62"
Jazz and the Demimonde ,AMS,Junior Ballroom D,Charles Hiroshi Garre,University of Michigan,NA,NA,Vanessa Blais-Tremblay,McGill University,Gorgeous Girlies in Glittering Gyrations: Exotic Dance and Interwar Jazz
Jazz and the Demimonde ,AMS,Junior Ballroom D,Charles Hiroshi Garre,University of Michigan,NA,NA,Dale Cockrell,Vanderbilt University,"Everybody's (Over) Doin' It: Sex, Alleged Music, and Rotten Dance in New York, 1910â€“17"
Blindness ,AMS,Grand Ballroom A,Lisa Barg,McGill University,NA,NA,Kira Dralle,"University of California, Santa Cruz",On BeyoncÃ©'s 'Formation' and Black Anger: How to Be an Ally in Musicological Discourse
Blindness ,AMS,Grand Ballroom A,Lisa Barg,McGill University,NA,NA,Eric Hung,Westminster Choir College of Rider University,Race-ing and Queering the Historical Mission of American Musicology through Public Musicology
Blindness ,AMS,Grand Ballroom A,Lisa Barg,McGill University,NA,NA,Kai Finlayson,New York University,Defense Mechanisms: Queering Musicological Aversions to Critical Race Theory
Blindness ,AMS,Grand Ballroom A,Lisa Barg,McGill University,NA,NA,Ali Na,University of California at Santa Cruz,The Color of Queer Critique: Sonic Performances of Blackness and Queer Temporality
and Perceptions ,AMS,Pavilion Ballroom A,Mark Pedelty,University of Minnesota,NA,NA,NA,NA,NA
"Concepts, Spaces, Sounds ",SMT,Junior Ballroom A/B,Julian Hook,Indiana University,NA,NA,Max Silva,University of Chicago,Un-Quin(n)ing Qualia
"Concepts, Spaces, Sounds ",SMT,Junior Ballroom A/B,Julian Hook,Indiana University,NA,NA,Dmitri Tymoczko,Princeton University,Shostakovich and 'Playing Out': Centric Set Theory and Polyoctatonicism in the Seventh String Quartet
"Concepts, Spaces, Sounds ",SMT,Junior Ballroom A/B,Julian Hook,Indiana University,NA,NA,Clifton Callender,Florida State University,The Tonal Extravagance of Large Pitch Sets
"Concepts, Spaces, Sounds ",SMT,Junior Ballroom A/B,Julian Hook,Indiana University,NA,NA,Richard Plotkin,"University at Buffalo, SUNY",Harmonious Opposition: Maximal Displacement and Voice-Leading Parsimony
Scholarship ,AMS,Grand Ballroom D,Andy Flory,Carleton College,Nicole Biamonte,McGill University,Keith Salley,Shenandoah Conservatory,Navigating Copyright Permissions/Evaluating Fair Use
Scholarship ,AMS,Grand Ballroom D,Andy Flory,Carleton College,Nicole Biamonte,McGill University,Lars Helger,Catholic University of America,Music Scholarship and Music Publishers: Common Problems and Potential Solutions
Scholarship ,AMS,Grand Ballroom D,Andy Flory,Carleton College,Nicole Biamonte,McGill University,Walter Evere,University of Michigan,Fair Use Considerations in Rock Scholarship
Figuring the Rhythm: Black Social Dance and its Musics ,AMS,Grand Ballroom C,Christopher J. Wells,Arizona State University,NA,NA,NA,NA,NA
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Gretchen Horlacher,Indiana University,Movement in Music and Dance: A Neoclassical Collaboration for Orpheus
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Julie Hedges Brown,Northern Arizona University,"Re-Hearing Schumann: A Ballet, a Quartet Adagio, and Multivalent Identity"
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Robin Attas,Elon University,Dancing an Analysis: Approaching Popular Music Theory through Dance
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Ellen Bakulina,University of North Texas,Non-Monotonality and Proto-Harmony in Rachmaninoff
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Charity Lofthouse,Hobart and William Smith Colleges,Pushing the Boundaries: Mismatch and Overlap in Shostakovich's 'Classical' Structures
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Deborah Rifkin,Ithaca College,Prokofiev's Chromaticism in Fairy Tales: Cinderella and Peter and the Wolf
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Nancy Yunhwa Rao,Rutgers University,"Analysis, and the Dilemma of Music Genealogy: The Cases of Ruth Crawford and Johanna Beyer"
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Antonella Di Giulio,Buffalo State College,Blind and Imaged: Musical Intuitions in an Open Work
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Patricia Hall,University of Michigan,'Border Crossing' in Dario Marianelli's Score for Atonement
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Laura Emmery,Emory University,Repetition and Formal Destruction in Popular Music
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Victoria Malawey,Macalester College,Analyzing the Popular Voice
Frauenarbeit: Four Triptychs by Women in Music Theory ,SMT,Pavilion Ballroom B,Jennifer Bain,Dalhousie University,NA,NA,Jacqueline Warwick,Dalhousie University,Listening with a Gendered Ear
The Operatic Canon ,AMS,Port Alberni,James Parakilas,Bates College,James Parakilas,Bates College,NA,NA,NA
Producing the Groove ,SMT,Grand Ballroom B,Mark Butler,Northwestern University,NA,NA,Nathan Hesselink,University of British Columbia,The Backbeat as Expressive Device in Popular Music
Producing the Groove ,SMT,Grand Ballroom B,Mark Butler,Northwestern University,NA,NA,Michael D'Errico,Pitzer College,Off the Grid: Self-Effacing Production in Electronic Dance Music
Producing the Groove ,SMT,Grand Ballroom B,Mark Butler,Northwestern University,NA,NA,Asaf Peres,"Ann Arbor, Michigan",(Dys)Functional Harmony: How Sound Production in Twenty-First Century Pop Music Liberates Harmony from its Functional Role
Producing the Groove ,SMT,Grand Ballroom B,Mark Butler,Northwestern University,NA,NA,Chris McDonald,Cape Breton University,"Groove, Timbre and the Metaphor of Weight"
Analyzing Beethoven ,AMS/SMT,Junior Ballroom C,Alexander Rehding,Harvard University,NA,NA,John Z. McKay,University of South Carolina,Formalizing the Eroica: The E Minor Theme and the Structure of Analytical Revolutions
Analyzing Beethoven ,AMS/SMT,Junior Ballroom C,Alexander Rehding,Harvard University,NA,NA,Mark Evan Bonds,University of North Carolina at Chapel Hill,"Positively Ironic: Beethoven's 'Serioso' String Quartet in F minor, op. 95"
Performance and Analysis ,SMT,Junior Ballroom C,Alan Dodson,University of British Columbia,NA,NA,Andrew M. Friedman,Harvard University,Reimagining (Motivic) Analysis in Light of Performance
Performance and Analysis ,SMT,Junior Ballroom C,Alan Dodson,University of British Columbia,NA,NA,Su Yin Mak,The Chinese University of Hong Kong,Communications about Musical
with Modern Eyes ,SMT,Junior Ballroom C,Devin Chaloux,Southern New Hampshire University,NA,NA,Jason Rosenholtz-Wi,Northwestern University,Cipriano de Rore Reappraised: Lovesickness and Eroticism in Calami sonum ferentes
with Modern Eyes ,SMT,Junior Ballroom C,Devin Chaloux,Southern New Hampshire University,NA,NA,Benjamin Dobbs,"Greenwood, S.C.",Comparing Cipriano de Rore's Four- and Five-Voice Madrigals: Indicators of Style in Cadential Practice
with Modern Eyes ,SMT,Junior Ballroom C,Devin Chaloux,Southern New Hampshire University,NA,NA,Richard Hermann,University of New Mexico,Is there Evidence for Meter via Cumulative Rhythm and Attack-Point Density in Cipriano de Rore's Madrigals?
with Modern Eyes ,SMT,Junior Ballroom C,Devin Chaloux,Southern New Hampshire University,NA,NA,Timothy R. McKinney,Baylor University,Scheme and Schism in Rore's Mia benigna fortuna
with Modern Eyes ,SMT,Junior Ballroom C,Devin Chaloux,Southern New Hampshire University,NA,NA,Jared C. Har,Oberlin College & Conservatory,A Deliberate Hoax? Using Rore's Calami sonum ferentes as a Pedagogical Tool
with Modern Eyes ,SMT,Junior Ballroom C,Devin Chaloux,Southern New Hampshire University,NA,NA,Heather Holmques,Umpqua Community College,Building a Narrative: Music and Text Relationships in the Undergraduate Analysis Classroom
Lost Repertories of the Cold War Era ,AMS,Pavilion Ballroom A,Alison Furlong,Ohio State University,NA,NA,NA,NA,NA
Melodic Motivations ,SMT,Pavilion Ballroom C,Ben Givan,Skidmore College,NA,NA,Christopher Gupta,Princeton University,A Theoretical Account of Cueing Systems in Collective Improvisation
Melodic Motivations ,SMT,Pavilion Ballroom C,Ben Givan,Skidmore College,NA,NA,Jeremy Smith,University of Minnesota,'I Know It's Over': Melodically-Established Keys
Melodic Motivations ,SMT,Pavilion Ballroom C,Ben Givan,Skidmore College,NA,NA,Joon Park,University of Arkansas,Long Dissonance and the Metaphors of Musical Work
Melodic Motivations ,SMT,Pavilion Ballroom C,Ben Givan,Skidmore College,NA,NA,Rich Pellegrin,University of Missouri,"Salience, Common Tones, and Middleground Dissonance in the Fourth Chorus of Brad Mehldau's Improvisation on 'All the Things You Are'"
Centuries ,AMS,Grand Ballroom D,Thomas Irvine,University of Southampton,NA,NA,Claudia Jensen,University of Washington,"Cavalli, Communiques, and the Kremlin: Muscovite Witnesses to Seventeenth-century Italian Music and Theater"
Centuries ,AMS,Grand Ballroom D,Thomas Irvine,University of Southampton,NA,NA,Kevin C. Karnes,Emory University,Inventing Eastern Europe in the Ear of the Enlightenment
Centuries ,AMS,Grand Ballroom D,Thomas Irvine,University of Southampton,NA,NA,Danielle M. Kuntz,Baldwin Wallace University,"Old Lisbon, New Rome: Marginalized Voices in Early Eighteenth-Century Portuguese Villancico and Oratorio"
Centuries ,AMS,Grand Ballroom D,Thomas Irvine,University of Southampton,NA,NA,Craig Russell,Cal Poly,"Smudged Blotches, Glued Paste-overs, and Crosshatched Rewrites: Uncovering Sumaya's MuriÃ³ por el pecado and His Compositional Process"
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Sumanth Gopinath,University of Minnesota,Marxism and Minimalism: A Troubled Intersection
