session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title,year
"Performing, Learning, Citizenship ",AMS,H: Walker,Charles McGuire,Oberlin College,NA,NA,Anicia Timberlake,"University of California, Berkeley",What's in a Syllable? SolfÃ¨ge and Music Literacy in the German Democratic Republic,2014
"Singing, Memory, and Gender ",AMS,W: 102 B,Sarah Day-O'Connell,Knox College,NA,NA,Sarah F. Williams,University of South Carolina,"'Chronicled in Ditty': Music, Memory, and Theater in Seventeenth-Century English Broadside Ballad Performance",2014
"Singing, Memory, and Gender ",AMS,W: 102 B,Sarah Day-O'Connell,Knox College,NA,NA,Andrew Greenwood,Southern Illinois University Edwardsville,The Atmosphere of Song in Enlightenment Scotland,2014
"Singing, Memory, and Gender ",AMS,W: 102 B,Sarah Day-O'Connell,Knox College,NA,NA,C. Megan MacDonald,Florida State University,'Heaven Is Nearer Since Mother Is There': Gendered Spaces in Southern Gospel Songbooks of the Great Depression,2014
"Singing, Memory, and Gender ",AMS,W: 102 B,Sarah Day-O'Connell,Knox College,NA,NA,Bethany Cencer,Stony Brook University,"From Mourning to Moralizing: Elegiac Partsong, Masculinity, and the Rhetoric of Sympathy",2014
Who Owns Music? ,AMS,W: 102 A,Judy Tsou,University of Washington,NA,NA,Ann van Allen-Russell,Trinity Laban Conservatoire,"Imaginative Territory: J. C. Bach, C. F. Abel, and the Rise of Intellectual Property",2014
Who Owns Music? ,AMS,W: 102 A,Judy Tsou,University of Washington,NA,NA,Katherine Maskell,Ohio State University,Early Litigation and the Foundations of American Music Copyright Law,2014
Who Owns Music? ,AMS,W: 102 A,Judy Tsou,University of Washington,NA,NA,Joanna Demers,University of Southern California,"Sound-Alikes, Law, and Style",2014
Who Owns Music? ,AMS,W: 102 A,Judy Tsou,University of Washington,NA,NA,Lisa Cooper Ves,Indiana University,Plagiarism and the Redefinition of the Avant Garde,2014
Twenty-First Century ,AMS,W: 102 A,Joanna Demers,University of Southern California,"Austin), and Tobin Siebers",University of Michigan,NA,NA,NA,2014
Hymnological Research ,AMS,H: Regency,Esther Crookshank,Southern Baptist Theological Seminary,NA,NA,NA,NA,NA,2014
Early Tonal Corpora ,SMT,W: 103 DE,Ian Quinn,Yale University,NA,NA,Peter Schubert and Julie E. Cumming,McGill University,Another Lesson from Lassus,2014
Early Tonal Corpora ,SMT,W: 103 DE,Ian Quinn,Yale University,NA,NA,Megan Kaes Long,Oberlin College,Cadential Syntax and Tonal Expectation in Seventeenth-Century Homophony,2014
Early Tonal Corpora ,SMT,W: 103 DE,Ian Quinn,Yale University,NA,NA,Christopher Brody,Indiana University,The Second-Reprise Medial PAC and the Form of Bach's Binary Dance Movements,2014
Early Tonal Corpora ,SMT,W: 103 DE,Ian Quinn,Yale University,NA,NA,Dmitri Tymoczko,Princeton University,A Study on the Origins of Harmonic Tonality,2014
Eighteenth-Century Music Theory ,SMT,H: Mitchell,Nathan Martin,Yale University,NA,NA,Abigail Shupe,University of Western Ontario,"Rameau, Voltaire, Castel, and the Stakes of Enlightenment Music Theory",2014
Eighteenth-Century Music Theory ,SMT,H: Mitchell,Nathan Martin,Yale University,NA,NA,Steve Grazzini,"Bloomington, Ind.",In Defense of Rameau's Theory of Supposition,2014
Eighteenth-Century Music Theory ,SMT,H: Mitchell,Nathan Martin,Yale University,NA,NA,William O'Hara,Harvard University,Possible Mozarts: Recomposition and Counterfactual Logic,2014
Eighteenth-Century Music Theory ,SMT,H: Mitchell,Nathan Martin,Yale University,NA,NA,August A. Sheehy,University of Chicago,'I Know What I Love in My Mozart': Gottfried Weber and the Problem of Judgment,2014
"Eighteenth-Century Reading, Experimental Writing ",AMS,W: 103 C,Kate van Orden,Harvard University,NA,NA,NA,NA,NA,2014
French Modernisms ,AMS,W: 102 A,Andrew Shenton,Boston University,NA,NA,Kimberly Francis,University of Guelph,"Letters from India/Lessons from Paris: Marcelle de Manziarly's Correspondence with Nadia Boulanger, 1924â€“25",2014
French Modernisms ,AMS,W: 102 A,Andrew Shenton,Boston University,NA,NA,Alexander Stalarow,"University of California, Davis",Postwar Orpheus at Play: Parody in Orphic Settings by Pierre Schaeffer and Jean Cocteau,2014
